run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg,avg_default_params
359955,2,10,0,0.724,0.74,4.26,14.2,14.0,39.866,88.88,89.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,6.0
359955,2,10,1,0.724,0.74,4.26,14.2,14.0,39.866,88.88,89.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,4.58
359955,2,10,2,0.732,0.78,12.44,13.013,14.0,675.387,77.08,87.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,3.29
359955,2,10,3,0.743,0.793,21.121,11.228,12.0,1273.224,61.965,83.5,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.78
359955,2,10,4,0.75,0.8,23.228,10.046,11.0,1431.728,51.912,63.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.03
359955,2,10,5,0.755,0.8,22.725,9.288,8.0,1423.479,45.222,22.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.88
359955,2,10,6,0.758,0.787,21.78,8.743,7.0,1366.27,40.394,19.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,2.12
359955,2,10,7,0.761,0.787,20.749,8.318,7.0,1301.473,36.584,17.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.88
359955,2,10,8,0.763,0.8,19.633,8.009,6.5,1235.861,33.501,15.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.91
359955,2,10,9,0.765,0.8,18.676,7.737,6.0,1174.172,30.927,13.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.67
359955,2,10,10,0.767,0.8,17.742,7.517,6.0,1113.924,28.809,12.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.47
359955,2,10,11,0.769,0.8,16.798,7.342,6.0,1056.426,27.048,10.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.42
359955,2,10,12,0.77,0.8,15.862,7.216,6.0,1001.794,25.592,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.31
359955,2,10,13,0.771,0.8,15.148,7.096,6.0,951.498,24.374,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.09
359955,2,10,14,0.772,0.8,14.484,6.993,6.0,905.432,23.331,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.26
359955,2,10,15,0.773,0.8,13.844,6.921,6.0,863.141,22.473,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,1.1
359955,2,10,16,0.773,0.8,13.27,6.859,6.0,824.339,21.714,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.93
359955,2,10,17,0.774,0.8,12.776,6.791,6.0,789.16,21.027,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.9
359955,2,10,18,0.774,0.8,12.348,6.732,6.0,756.808,20.441,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.75
359955,2,10,19,0.774,0.8,11.98,6.676,6.0,727.583,19.928,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.75
359955,2,10,20,0.774,0.8,11.682,6.626,6.0,702.027,19.439,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,21,0.775,0.8,11.392,6.567,6.0,677.594,18.945,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.89
359955,2,10,22,0.775,0.8,11.072,6.523,6.0,654.239,18.479,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,23,0.776,0.8,10.823,6.46,6.0,632.51,18.034,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.82
359955,2,10,24,0.776,0.8,10.6,6.399,6.0,612.677,17.629,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.86
359955,2,10,25,0.776,0.8,10.459,6.337,6.0,595.341,17.252,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.85
359955,2,10,26,0.776,0.8,10.273,6.279,6.0,577.86,16.874,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.87
359955,2,10,27,0.776,0.8,10.083,6.228,6.0,561.22,16.569,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.69
359955,2,10,28,0.776,0.8,9.992,6.151,6.0,546.023,16.207,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.82
359955,2,10,29,0.776,0.8,9.828,6.091,6.0,531.1,15.907,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.77
359955,2,10,30,0.776,0.8,9.744,6.017,6.0,517.441,15.589,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.78
359955,2,10,31,0.776,0.8,9.649,5.948,6.0,504.347,15.283,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.74
359955,2,10,32,0.776,0.8,9.549,5.884,6.0,491.841,15.008,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.71
359955,2,10,33,0.776,0.8,9.438,5.831,6.0,479.762,14.77,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.83
359955,2,10,34,0.776,0.8,9.28,5.784,6.0,467.892,14.557,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.83
359955,2,10,35,0.776,0.8,9.174,5.729,5.0,456.914,14.334,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.79
359955,2,10,36,0.776,0.8,9.039,5.683,5.0,446.294,14.131,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.77
359955,2,10,37,0.776,0.787,8.906,5.637,5.0,436.079,13.938,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.73
359955,2,10,38,0.776,0.787,8.782,5.601,5.0,426.289,13.787,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.7
359955,2,10,39,0.776,0.787,8.656,5.562,5.0,416.879,13.63,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.72
359955,2,10,40,0.776,0.793,8.546,5.52,5.0,407.976,13.467,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.79
359955,2,10,41,0.776,0.793,8.434,5.482,5.0,399.334,13.323,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.81
359955,2,10,42,0.776,0.793,8.326,5.444,5.0,391.124,13.178,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,43,0.776,0.793,8.21,5.412,5.0,383.124,13.056,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,44,0.776,0.793,8.072,5.392,5.0,375.222,12.965,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,45,0.775,0.793,7.934,5.385,5.0,367.437,12.923,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.9
359955,2,10,46,0.775,0.793,7.8,5.384,5.0,359.975,12.903,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.81
359955,2,10,47,0.775,0.793,7.664,5.382,5.0,352.846,12.879,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,48,0.775,0.793,7.544,5.375,5.0,345.986,12.843,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.82
359955,2,10,49,0.775,0.8,7.427,5.369,5.0,339.396,12.809,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.83
359955,2,10,50,0.775,0.793,7.3,5.368,5.0,332.949,12.788,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.85
359955,2,10,51,0.775,0.793,7.201,5.358,5.0,326.921,12.748,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,52,0.775,0.787,7.109,5.35,5.0,321.126,12.712,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,53,0.774,0.787,7.01,5.347,5.0,315.493,12.697,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.82
359955,2,10,54,0.774,0.787,6.915,5.347,5.0,310.167,12.684,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.9
359955,2,10,55,0.774,0.787,6.806,5.348,5.0,304.821,12.682,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.81
359955,2,10,56,0.774,0.78,6.706,5.351,5.0,299.694,12.682,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.76
359955,2,10,57,0.774,0.78,6.61,5.353,5.0,294.741,12.685,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.83
359955,2,10,58,0.774,0.78,6.518,5.353,5.0,289.972,12.679,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,59,0.774,0.78,6.431,5.351,5.0,285.391,12.667,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,60,0.774,0.78,6.35,5.351,5.0,281.058,12.663,7.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.81
359955,2,10,61,0.774,0.78,6.274,5.354,5.0,276.829,12.673,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.86
359955,2,10,62,0.774,0.78,6.197,5.356,5.0,272.732,12.684,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.83
359955,2,10,63,0.774,0.78,6.128,5.358,5.0,268.781,12.685,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.76
359955,2,10,64,0.774,0.78,6.055,5.357,5.0,264.95,12.677,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,65,0.774,0.78,5.983,5.359,5.0,261.203,12.682,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.9
359955,2,10,66,0.774,0.78,5.911,5.364,5.0,257.551,12.707,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.84
359955,2,10,67,0.774,0.78,5.859,5.366,5.0,254.144,12.715,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.83
359955,2,10,68,0.774,0.78,5.795,5.371,5.0,250.708,12.735,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.79
359955,2,10,69,0.774,0.78,5.736,5.371,5.0,247.447,12.746,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.86
359955,2,10,70,0.774,0.78,5.684,5.377,5.0,244.38,12.781,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.8
359955,2,10,71,0.774,0.78,5.627,5.381,5.0,241.261,12.797,8.0,0.76,3.47,14.23,14.0,51.499,96.397,96.0,0.124,0.78
