run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline,RF_height
168784,17,1,0,0.565,0.68,0.662,9.26,287.274,0.795,4.2
168784,17,1,1,0.565,0.68,0.662,9.26,287.274,0.795,4.2
168784,17,1,2,0.563,0.672,0.651,9.324,325.691,0.795,4.2
168784,17,1,3,0.564,0.673,0.656,9.321,329.87,0.795,4.2
168784,17,1,4,0.564,0.67,0.656,9.362,360.259,0.795,4.2
168784,17,1,5,0.559,0.664,0.651,9.628,359.645,0.795,4.2
168784,17,1,6,0.555,0.65,0.641,9.678,385.487,0.795,4.2
168784,17,1,7,0.554,0.646,0.636,9.651,400.6,0.795,4.2
168784,17,1,8,0.552,0.638,0.621,9.71,399.737,0.795,4.2
168784,17,1,9,0.55,0.622,0.621,9.664,401.752,0.795,4.2
168784,17,1,10,0.548,0.606,0.605,9.702,388.662,0.795,4.2
168784,17,1,11,0.546,0.593,0.595,9.681,372.851,0.795,4.2
168784,17,1,12,0.545,0.577,0.574,9.708,362.312,0.795,4.2
168784,17,1,13,0.544,0.573,0.574,9.831,353.969,0.795,4.2
168784,17,1,14,0.543,0.571,0.574,9.893,346.721,0.795,4.2
168784,17,1,15,0.542,0.565,0.554,10.031,340.144,0.795,4.2
168784,17,1,16,0.54,0.557,0.549,10.011,334.145,0.795,4.2
168784,17,1,17,0.539,0.553,0.549,10.055,329.052,0.795,4.2
168784,17,1,18,0.539,0.552,0.549,10.111,326.733,0.795,4.2
168784,17,1,19,0.538,0.549,0.544,10.187,324.42,0.795,4.2
168784,17,1,20,0.538,0.547,0.544,10.287,323.452,0.795,4.2
168784,17,1,21,0.538,0.544,0.544,10.339,321.656,0.795,4.2
168784,17,1,22,0.538,0.544,0.538,10.396,321.486,0.795,4.2
168784,17,1,23,0.537,0.543,0.544,10.422,319.123,0.795,4.2
168784,17,1,24,0.537,0.542,0.538,10.447,315.31,0.795,4.2
168784,17,1,25,0.537,0.543,0.538,10.465,311.489,0.795,4.2
168784,17,1,26,0.536,0.542,0.538,10.456,308.837,0.795,4.2
168784,17,1,27,0.536,0.542,0.538,10.457,305.646,0.795,4.2
168784,17,1,28,0.536,0.542,0.538,10.382,301.414,0.795,4.2
168784,17,1,29,0.536,0.542,0.538,10.295,296.406,0.795,4.2
168784,17,1,30,0.537,0.542,0.538,10.264,291.706,0.795,4.2
168784,17,1,31,0.537,0.542,0.538,10.262,288.27,0.795,4.2
168784,17,1,32,0.537,0.542,0.538,10.224,284.982,0.795,4.2
168784,17,1,33,0.537,0.542,0.538,10.186,281.91,0.795,4.2
168784,17,1,34,0.537,0.543,0.538,10.188,279.401,0.795,4.2
168784,17,1,35,0.537,0.543,0.538,10.232,278.473,0.795,4.2
168784,17,1,36,0.538,0.543,0.538,10.234,276.359,0.795,4.2
168784,17,1,37,0.538,0.543,0.538,10.243,274.892,0.795,4.2
168784,17,1,38,0.538,0.543,0.538,10.214,273.797,0.795,4.2
168784,17,1,39,0.538,0.543,0.538,10.177,270.847,0.795,4.2
168784,17,1,40,0.538,0.544,0.538,10.205,269.927,0.795,4.2
168784,17,1,41,0.538,0.544,0.538,10.218,268.038,0.795,4.2
168784,17,1,42,0.538,0.544,0.538,10.186,265.607,0.795,4.2
168784,17,1,43,0.538,0.544,0.538,10.192,263.274,0.795,4.2
168784,17,1,44,0.538,0.546,0.544,10.191,261.665,0.795,4.2
168784,17,1,45,0.539,0.547,0.544,10.187,261.413,0.795,4.2
168784,17,1,46,0.539,0.55,0.544,10.232,260.099,0.795,4.2
168784,17,1,47,0.539,0.552,0.544,10.287,258.883,0.795,4.2
168784,17,1,48,0.54,0.552,0.544,10.31,257.89,0.795,4.2
168784,17,1,49,0.54,0.553,0.544,10.349,256.909,0.795,4.2
190146,14,100,0,0.591,0.743,0.729,5.54,41.558,0.729,4.136
190146,14,100,1,0.591,0.743,0.729,5.54,41.558,0.729,4.136
190146,14,100,2,0.611,0.735,0.729,3.996,34.376,0.729,4.136
190146,14,100,3,0.62,0.735,0.753,3.319,29.276,0.729,4.136
190146,14,100,4,0.627,0.724,0.741,2.921,26.058,0.729,4.136
190146,14,100,5,0.629,0.714,0.729,2.653,24.255,0.729,4.136
190146,14,100,6,0.633,0.711,0.729,2.388,21.952,0.729,4.136
190146,14,100,7,0.636,0.706,0.729,2.177,20.176,0.729,4.136
190146,14,100,8,0.638,0.707,0.729,2.044,19.018,0.729,4.136
190146,14,100,9,0.638,0.704,0.729,1.965,18.132,0.729,4.136
190146,14,100,10,0.64,0.702,0.729,1.852,17.257,0.729,4.136
190146,14,100,11,0.642,0.702,0.729,1.756,16.407,0.729,4.136
190146,14,100,12,0.643,0.701,0.729,1.653,15.647,0.729,4.136
190146,14,100,13,0.644,0.701,0.729,1.582,15.144,0.729,4.136
190146,14,100,14,0.645,0.701,0.729,1.495,14.474,0.729,4.136
190146,14,100,15,0.645,0.699,0.729,1.448,14.142,0.729,4.136
190146,14,100,16,0.646,0.696,0.729,1.392,13.691,0.729,4.136
190146,14,100,17,0.646,0.697,0.729,1.348,13.353,0.729,4.136
190146,14,100,18,0.647,0.697,0.729,1.306,13.054,0.729,4.136
190146,14,100,19,0.647,0.697,0.729,1.262,12.668,0.729,4.136
190146,14,100,20,0.648,0.697,0.729,1.241,12.452,0.729,4.136
190146,14,100,21,0.648,0.697,0.729,1.207,12.251,0.729,4.136
190146,14,100,22,0.649,0.697,0.729,1.172,12.067,0.729,4.136
190146,14,100,23,0.649,0.697,0.729,1.145,12.324,0.729,4.136
190146,14,100,24,0.649,0.697,0.729,1.129,13.06,0.729,4.136
190146,14,100,25,0.648,0.697,0.729,1.108,13.532,0.729,4.136
190146,14,100,26,0.649,0.697,0.729,1.102,14.412,0.729,4.136
190146,14,100,27,0.649,0.697,0.729,1.079,14.24,0.729,4.136
190146,14,100,28,0.649,0.697,0.729,1.07,14.292,0.729,4.136
190146,14,100,29,0.649,0.697,0.729,1.057,14.321,0.729,4.136
190146,14,100,30,0.649,0.697,0.729,1.041,14.326,0.729,4.136
190146,14,100,31,0.649,0.696,0.729,1.028,14.261,0.729,4.136
190146,14,100,32,0.649,0.696,0.729,1.015,14.105,0.729,4.136
190146,14,100,33,0.649,0.696,0.729,1.001,14.088,0.729,4.136
190146,14,100,34,0.649,0.696,0.729,0.994,14.234,0.729,4.136
190146,14,100,35,0.65,0.697,0.729,0.998,14.442,0.729,4.136
190146,14,100,36,0.65,0.699,0.729,0.997,14.542,0.729,4.136
190146,14,100,37,0.65,0.699,0.729,0.994,14.534,0.729,4.136
190146,14,100,38,0.65,0.699,0.729,0.988,14.603,0.729,4.136
190146,14,100,39,0.65,0.699,0.729,0.98,14.6,0.729,4.136
190146,14,100,40,0.651,0.697,0.729,0.998,14.563,0.729,4.136
190146,14,100,41,0.651,0.697,0.729,0.999,14.53,0.729,4.136
190146,14,100,42,0.651,0.697,0.729,0.993,14.43,0.729,4.136
190146,14,100,43,0.651,0.697,0.729,1.001,14.541,0.729,4.136
190146,14,100,44,0.651,0.697,0.729,0.992,14.433,0.729,4.136
190146,14,100,45,0.652,0.697,0.729,0.981,14.385,0.729,4.136
190146,14,100,46,0.652,0.697,0.729,0.974,14.509,0.729,4.136
190146,14,100,47,0.652,0.697,0.729,0.964,14.485,0.729,4.136
190146,14,100,48,0.652,0.697,0.729,0.955,14.409,0.729,4.136
190146,14,100,49,0.653,0.697,0.729,0.946,14.278,0.729,4.136
359959,3,25,0,0.447,0.427,0.426,8.186,94.477,0.527,3.147
359959,3,25,1,0.447,0.427,0.426,8.186,94.477,0.527,3.147
359959,3,25,2,0.459,0.427,0.426,11.379,129.972,0.527,3.147
359959,3,25,3,0.471,0.427,0.426,12.623,157.503,0.527,3.147
359959,3,25,4,0.479,0.434,0.426,12.163,143.68,0.527,3.147
359959,3,25,5,0.485,0.47,0.453,11.778,133.85,0.527,3.147
359959,3,25,6,0.486,0.474,0.459,11.365,126.733,0.527,3.147
359959,3,25,7,0.49,0.5,0.473,11.024,122.993,0.527,3.147
359959,3,25,8,0.492,0.532,0.48,10.72,120.427,0.527,3.147
359959,3,25,9,0.494,0.549,0.5,10.602,119.693,0.527,3.147
359959,3,25,10,0.494,0.548,0.514,10.438,117.503,0.527,3.147
359959,3,25,11,0.494,0.549,0.5,10.376,114.87,0.527,3.147
359959,3,25,12,0.494,0.548,0.507,10.369,112.998,0.527,3.147
359959,3,25,13,0.494,0.542,0.507,10.463,112.38,0.527,3.147
359959,3,25,14,0.494,0.539,0.5,10.458,111.01,0.527,3.147
359959,3,25,15,0.495,0.546,0.507,10.288,108.708,0.527,3.147
359959,3,25,16,0.495,0.542,0.507,10.23,107.984,0.527,3.147
359959,3,25,17,0.496,0.547,0.527,10.042,107.735,0.527,3.147
359959,3,25,18,0.496,0.549,0.527,9.891,109.196,0.527,3.147
359959,3,25,19,0.497,0.554,0.527,9.783,111.352,0.527,3.147
359959,3,25,20,0.496,0.555,0.527,9.634,114.701,0.527,3.147
359959,3,25,21,0.496,0.557,0.541,9.469,116.274,0.527,3.147
359959,3,25,22,0.497,0.561,0.534,9.305,117.971,0.527,3.147
359959,3,25,23,0.497,0.562,0.534,9.154,119.127,0.527,3.147
359959,3,25,24,0.497,0.563,0.534,9.024,120.322,0.527,3.147
359959,3,25,25,0.497,0.563,0.534,8.883,119.807,0.527,3.147
359959,3,25,26,0.497,0.564,0.541,8.759,119.664,0.527,3.147
359959,3,25,27,0.497,0.561,0.534,8.695,120.026,0.527,3.147
359959,3,25,28,0.497,0.562,0.541,8.6,121.936,0.527,3.147
359959,3,25,29,0.497,0.563,0.541,8.503,122.63,0.527,3.147
359959,3,25,30,0.497,0.565,0.547,8.404,124.784,0.527,3.147
359959,3,25,31,0.497,0.56,0.547,8.359,127.764,0.527,3.147
359959,3,25,32,0.497,0.561,0.541,8.292,127.389,0.527,3.147
359959,3,25,33,0.497,0.559,0.541,8.222,126.44,0.527,3.147
359959,3,25,34,0.497,0.562,0.541,8.133,128.428,0.527,3.147
359959,3,25,35,0.497,0.559,0.541,8.07,128.933,0.527,3.147
359959,3,25,36,0.497,0.56,0.541,8.011,129.625,0.527,3.147
