run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,height_mean,height_median,leaves_var,leaves_mean,leaves_median,RF_baseline,RF_height_var,RF_height_mean,RF_height_median,RF_leaves_var,RF_leaves_mean,RF_leaves_median,RF_avg
190411,6,1,0,0.784,0.845,13.13,33.52,34.0,700.85,496.7,496.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,1,0.785,0.843,12.984,33.34,33.0,692.782,495.26,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,2,0.786,0.845,14.748,33.647,33.0,632.566,493.693,492.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,3,0.786,0.845,15.234,33.535,33.0,628.177,494.28,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,4,0.787,0.849,14.912,33.456,33.0,605.419,493.688,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,5,0.787,0.851,14.879,33.38,33.0,589.427,493.837,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,6,0.787,0.851,14.717,33.253,33.0,588.104,493.503,493.5,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,7,0.787,0.851,14.659,33.242,33.0,578.792,493.8,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,8,0.787,0.848,14.806,33.271,33.0,581.029,493.76,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,9,0.787,0.849,14.911,33.253,33.0,600.171,493.553,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,10,0.786,0.848,15.497,33.357,33.0,594.964,493.384,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,11,0.787,0.848,15.292,33.368,33.0,599.005,493.203,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,12,0.787,0.847,15.006,33.367,33.0,597.091,492.736,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,13,0.787,0.847,14.826,33.389,33.0,591.053,492.814,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,14,0.787,0.848,14.586,33.375,33.0,590.871,492.953,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,15,0.787,0.847,14.575,33.394,33.0,589.03,492.936,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,16,0.787,0.848,14.451,33.4,33.0,594.054,492.896,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,17,0.787,0.846,14.373,33.387,33.0,594.471,493.051,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,18,0.787,0.847,14.397,33.402,33.0,588.544,493.033,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,19,0.787,0.848,14.351,33.374,33.0,590.267,493.316,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,20,0.787,0.848,14.243,33.338,33.0,591.112,493.315,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,21,0.787,0.847,14.224,33.345,33.0,585.637,493.192,493.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,22,0.786,0.846,14.116,33.338,33.0,580.76,493.269,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,23,0.786,0.847,14.012,33.323,33.0,583.585,493.318,493.5,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
190411,6,1,24,0.786,0.847,13.983,33.318,33.0,583.902,493.451,494.0,0.845,13.58,33.482,33.0,547.96,493.177,493.0,0.805
