run_id,run_num,tournament_k,generation,avg_tree_test_acc,ensemble_test_acc,height_var,leaves_var,RF_baseline,RF_height,RF_leaves,RF_avg
359959,3,25,0,0.512,0.581,32.168,14277.936,0.527,3.147,219.031,0.45
359959,3,25,1,0.512,0.581,32.168,14277.936,0.527,3.147,219.031,0.45
359959,3,25,2,0.514,0.581,32.506,13564.646,0.527,3.147,219.031,0.45
359959,3,25,3,0.514,0.588,33.68,15016.584,0.527,3.147,219.031,0.45
359959,3,25,4,0.516,0.588,33.977,14648.402,0.527,3.147,219.031,0.45
359959,3,25,5,0.517,0.595,33.126,14440.672,0.527,3.147,219.031,0.45
359959,3,25,6,0.519,0.595,32.656,14498.193,0.527,3.147,219.031,0.45
359959,3,25,7,0.519,0.595,32.109,14210.343,0.527,3.147,219.031,0.45
359959,3,25,8,0.52,0.588,31.734,14261.944,0.527,3.147,219.031,0.45
359959,3,25,9,0.52,0.588,31.856,14278.459,0.527,3.147,219.031,0.45
359959,3,25,10,0.52,0.581,31.57,13926.241,0.527,3.147,219.031,0.45
359959,3,25,11,0.52,0.581,31.153,13650.113,0.527,3.147,219.031,0.45
359959,3,25,12,0.52,0.574,31.093,13867.061,0.527,3.147,219.031,0.45
359959,3,25,13,0.52,0.574,31.355,14142.63,0.527,3.147,219.031,0.45
359959,3,25,14,0.52,0.574,31.136,14056.959,0.527,3.147,219.031,0.45
359959,3,25,15,0.52,0.574,30.857,13879.27,0.527,3.147,219.031,0.45
359959,3,25,16,0.52,0.568,30.862,13824.125,0.527,3.147,219.031,0.45
359959,3,25,17,0.52,0.568,31.03,13864.942,0.527,3.147,219.031,0.45
359959,3,25,18,0.52,0.568,30.915,13847.756,0.527,3.147,219.031,0.45
359959,3,25,19,0.519,0.568,30.737,13500.461,0.527,3.147,219.031,0.45
359959,3,25,20,0.519,0.568,30.587,13450.936,0.527,3.147,219.031,0.45
359959,3,25,21,0.519,0.568,30.544,13405.92,0.527,3.147,219.031,0.45
359959,3,25,22,0.52,0.568,30.634,13401.741,0.527,3.147,219.031,0.45
359959,3,25,23,0.519,0.568,30.643,13441.908,0.527,3.147,219.031,0.45
359959,3,25,24,0.519,0.568,30.851,13573.021,0.527,3.147,219.031,0.45
359959,3,25,25,0.519,0.568,30.846,13462.927,0.527,3.147,219.031,0.45
359959,3,25,26,0.519,0.568,30.87,13438.294,0.527,3.147,219.031,0.45
359959,3,25,27,0.519,0.561,30.572,13281.374,0.527,3.147,219.031,0.45
359959,3,25,28,0.519,0.561,30.68,13391.277,0.527,3.147,219.031,0.45
359959,3,25,29,0.519,0.561,30.637,13402.194,0.527,3.147,219.031,0.45
359959,3,25,30,0.519,0.561,30.807,13582.317,0.527,3.147,219.031,0.45
359959,3,25,31,0.519,0.561,30.72,13601.082,0.527,3.147,219.031,0.45
359959,3,25,32,0.519,0.561,30.644,13438.5,0.527,3.147,219.031,0.45
359959,3,25,33,0.519,0.561,30.57,13390.035,0.527,3.147,219.031,0.45
359959,3,25,34,0.518,0.561,30.822,13624.397,0.527,3.147,219.031,0.45
359959,3,25,35,0.518,0.561,30.896,13666.846,0.527,3.147,219.031,0.45
359959,3,25,36,0.518,0.561,31.189,13763.745,0.527,3.147,219.031,0.45
359959,3,25,37,0.518,0.561,31.25,13758.023,0.527,3.147,219.031,0.45
359959,3,25,38,0.518,0.561,31.223,13751.061,0.527,3.147,219.031,0.45
359959,3,25,39,0.518,0.561,31.236,13774.601,0.527,3.147,219.031,0.45
359959,3,25,40,0.519,0.561,31.026,13718.24,0.527,3.147,219.031,0.45
359959,3,25,41,0.519,0.561,30.94,13650.451,0.527,3.147,219.031,0.45
359959,3,25,42,0.519,0.561,30.784,13575.811,0.527,3.147,219.031,0.45
359959,3,25,43,0.519,0.561,30.668,13524.11,0.527,3.147,219.031,0.45
359959,3,25,44,0.519,0.561,30.823,13580.301,0.527,3.147,219.031,0.45
359959,3,25,45,0.519,0.561,30.864,13556.131,0.527,3.147,219.031,0.45
359959,3,25,46,0.519,0.561,30.843,13552.979,0.527,3.147,219.031,0.45
359959,3,25,47,0.519,0.568,30.717,13532.242,0.527,3.147,219.031,0.45
359959,3,25,48,0.52,0.568,30.793,13549.362,0.527,3.147,219.031,0.45
359959,3,25,49,0.519,0.568,30.912,13643.305,0.527,3.147,219.031,0.45
359954,0,10,0,0.555,0.676,21.624,1992.614,0.635,5.624,126.762,0.519
359954,0,10,1,0.555,0.676,21.624,1992.614,0.635,5.624,126.762,0.519
359954,0,10,2,0.552,0.676,19.614,1874.273,0.635,5.624,126.762,0.519
359954,0,10,3,0.552,0.676,19.464,1906.287,0.635,5.624,126.762,0.519
359954,0,10,4,0.55,0.662,19.152,1818.218,0.635,5.624,126.762,0.519
359954,0,10,5,0.551,0.662,19.358,1824.196,0.635,5.624,126.762,0.519
359954,0,10,6,0.549,0.662,19.298,1857.71,0.635,5.624,126.762,0.519
359954,0,10,7,0.549,0.649,19.313,1853.76,0.635,5.624,126.762,0.519
359954,0,10,8,0.548,0.649,19.097,1800.149,0.635,5.624,126.762,0.519
359954,0,10,9,0.55,0.649,19.375,1868.182,0.635,5.624,126.762,0.519
359954,0,10,10,0.549,0.635,19.358,1853.256,0.635,5.624,126.762,0.519
359954,0,10,11,0.548,0.635,19.714,1888.902,0.635,5.624,126.762,0.519
359954,0,10,12,0.549,0.635,19.366,1869.929,0.635,5.624,126.762,0.519
359954,0,10,13,0.55,0.635,19.772,1923.03,0.635,5.624,126.762,0.519
359954,0,10,14,0.549,0.635,20.542,2016.109,0.635,5.624,126.762,0.519
359954,0,10,15,0.549,0.635,20.449,2039.09,0.635,5.624,126.762,0.519
359954,0,10,16,0.551,0.635,20.46,2058.703,0.635,5.624,126.762,0.519
359954,0,10,17,0.551,0.649,20.036,2026.38,0.635,5.624,126.762,0.519
359954,0,10,18,0.551,0.649,20.034,1996.526,0.635,5.624,126.762,0.519
359954,0,10,19,0.552,0.649,19.869,1985.978,0.635,5.624,126.762,0.519
359954,0,10,20,0.552,0.649,19.76,1965.337,0.635,5.624,126.762,0.519
359954,0,10,21,0.552,0.662,19.754,1963.218,0.635,5.624,126.762,0.519
359954,0,10,22,0.552,0.662,19.543,1941.372,0.635,5.624,126.762,0.519
359954,0,10,23,0.554,0.662,19.392,1933.316,0.635,5.624,126.762,0.519
359954,0,10,24,0.554,0.676,19.401,1937.729,0.635,5.624,126.762,0.519
359954,0,10,25,0.555,0.662,19.255,1930.695,0.635,5.624,126.762,0.519
359954,0,10,26,0.555,0.676,19.331,1944.597,0.635,5.624,126.762,0.519
359954,0,10,27,0.556,0.676,19.115,1926.424,0.635,5.624,126.762,0.519
359954,0,10,28,0.556,0.676,19.132,1928.096,0.635,5.624,126.762,0.519
359954,0,10,29,0.556,0.676,19.019,1908.131,0.635,5.624,126.762,0.519
359954,0,10,30,0.556,0.676,18.833,1884.234,0.635,5.624,126.762,0.519
359954,0,10,31,0.556,0.676,18.974,1867.986,0.635,5.624,126.762,0.519
359954,0,10,32,0.556,0.676,18.883,1851.483,0.635,5.624,126.762,0.519
359954,0,10,33,0.556,0.662,18.919,1854.19,0.635,5.624,126.762,0.519
359954,0,10,34,0.556,0.662,19.085,1866.498,0.635,5.624,126.762,0.519
359954,0,10,35,0.555,0.662,18.973,1848.769,0.635,5.624,126.762,0.519
359954,0,10,36,0.555,0.662,19.038,1855.121,0.635,5.624,126.762,0.519
359954,0,10,37,0.556,0.662,19.141,1865.154,0.635,5.624,126.762,0.519
359954,0,10,38,0.556,0.662,19.072,1856.586,0.635,5.624,126.762,0.519
359954,0,10,39,0.556,0.662,19.096,1864.715,0.635,5.624,126.762,0.519
359954,0,10,40,0.556,0.662,19.071,1864.412,0.635,5.624,126.762,0.519
359954,0,10,41,0.556,0.662,19.109,1872.71,0.635,5.624,126.762,0.519
359954,0,10,42,0.557,0.662,19.049,1864.732,0.635,5.624,126.762,0.519
359954,0,10,43,0.557,0.662,19.045,1856.708,0.635,5.624,126.762,0.519
359954,0,10,44,0.557,0.662,19.052,1852.106,0.635,5.624,126.762,0.519
359954,0,10,45,0.557,0.662,19.02,1839.893,0.635,5.624,126.762,0.519
359954,0,10,46,0.557,0.662,18.979,1824.496,0.635,5.624,126.762,0.519
359954,0,10,47,0.557,0.662,19.011,1821.717,0.635,5.624,126.762,0.519
359954,0,10,48,0.557,0.662,19.012,1815.699,0.635,5.624,126.762,0.519
359954,0,10,49,0.557,0.662,19.039,1821.067,0.635,5.624,126.762,0.519
190146,8,2,0,0.638,0.729,18.342,725.313,0.776,4.639,44.368,0.667
190146,8,2,1,0.638,0.729,18.342,725.313,0.776,4.639,44.368,0.667
190146,8,2,2,0.642,0.729,17.446,712.451,0.776,4.639,44.368,0.667
190146,8,2,3,0.646,0.729,17.025,720.777,0.776,4.639,44.368,0.667
190146,8,2,4,0.646,0.741,16.832,743.065,0.776,4.639,44.368,0.667
190146,8,2,5,0.645,0.741,17.15,764.391,0.776,4.639,44.368,0.667
190146,8,2,6,0.647,0.741,17.745,793.639,0.776,4.639,44.368,0.667
190146,8,2,7,0.649,0.741,17.398,779.633,0.776,4.639,44.368,0.667
190146,8,2,8,0.649,0.729,17.556,791.444,0.776,4.639,44.368,0.667
190146,8,2,9,0.652,0.729,17.289,777.311,0.776,4.639,44.368,0.667
190146,8,2,10,0.653,0.741,17.327,783.97,0.776,4.639,44.368,0.667
190146,8,2,11,0.655,0.729,17.088,776.382,0.776,4.639,44.368,0.667
190146,8,2,12,0.656,0.729,16.793,771.823,0.776,4.639,44.368,0.667
190146,8,2,13,0.656,0.741,16.953,772.173,0.776,4.639,44.368,0.667
190146,8,2,14,0.657,0.741,17.06,779.02,0.776,4.639,44.368,0.667
190146,8,2,15,0.657,0.741,17.097,800.609,0.776,4.639,44.368,0.667
190146,8,2,16,0.658,0.741,17.041,801.035,0.776,4.639,44.368,0.667
190146,8,2,17,0.658,0.741,17.189,806.644,0.776,4.639,44.368,0.667
190146,8,2,18,0.658,0.741,17.092,802.708,0.776,4.639,44.368,0.667
190146,8,2,19,0.659,0.741,17.2,802.42,0.776,4.639,44.368,0.667
190146,8,2,20,0.659,0.741,17.203,807.89,0.776,4.639,44.368,0.667
190146,8,2,21,0.659,0.741,17.027,807.968,0.776,4.639,44.368,0.667
190146,8,2,22,0.659,0.741,16.903,802.972,0.776,4.639,44.368,0.667
190146,8,2,23,0.659,0.741,16.812,800.61,0.776,4.639,44.368,0.667
190146,8,2,24,0.658,0.741,16.841,803.352,0.776,4.639,44.368,0.667
190146,8,2,25,0.658,0.741,16.86,800.486,0.776,4.639,44.368,0.667
190146,8,2,26,0.659,0.741,16.695,794.474,0.776,4.639,44.368,0.667
190146,8,2,27,0.659,0.741,16.624,792.806,0.776,4.639,44.368,0.667
190146,8,2,28,0.658,0.729,16.665,790.927,0.776,4.639,44.368,0.667
190146,8,2,29,0.658,0.729,16.696,789.473,0.776,4.639,44.368,0.667
190146,8,2,30,0.658,0.729,16.76,789.947,0.776,4.639,44.368,0.667
190146,8,2,31,0.658,0.729,16.678,789.868,0.776,4.639,44.368,0.667
190146,8,2,32,0.658,0.729,16.697,789.566,0.776,4.639,44.368,0.667
190146,8,2,33,0.659,0.741,16.628,787.881,0.776,4.639,44.368,0.667
190146,8,2,34,0.659,0.741,16.56,785.372,0.776,4.639,44.368,0.667
190146,8,2,35,0.659,0.741,16.514,782.988,0.776,4.639,44.368,0.667
190146,8,2,36,0.659,0.741,16.541,780.479,0.776,4.639,44.368,0.667
190146,8,2,37,0.66,0.741,16.494,783.248,0.776,4.639,44.368,0.667
190146,8,2,38,0.659,0.741,16.543,783.215,0.776,4.639,44.368,0.667
190146,8,2,39,0.66,0.741,16.518,781.356,0.776,4.639,44.368,0.667
190146,8,2,40,0.66,0.741,16.503,779.733,0.776,4.639,44.368,0.667
190146,8,2,41,0.66,0.741,16.47,779.487,0.776,4.639,44.368,0.667
190146,8,2,42,0.66,0.741,16.462,777.74,0.776,4.639,44.368,0.667
190146,8,2,43,0.66,0.741,16.426,778.082,0.776,4.639,44.368,0.667
190146,8,2,44,0.66,0.741,16.392,775.646,0.776,4.639,44.368,0.667
190146,8,2,45,0.66,0.729,16.413,776.002,0.776,4.639,44.368,0.667
190146,8,2,46,0.661,0.729,16.393,776.571,0.776,4.639,44.368,0.667
190146,8,2,47,0.661,0.741,16.457,780.775,0.776,4.639,44.368,0.667
190146,8,2,48,0.661,0.741,16.405,781.227,0.776,4.639,44.368,0.667
190146,8,2,49,0.661,0.741,16.442,781.495,0.776,4.639,44.368,0.667
359959,5,10,0,0.525,0.608,25.262,8892.32,0.574,2.56,206.695,0.455
359959,5,10,1,0.525,0.608,25.262,8892.32,0.574,2.56,206.695,0.455
359959,5,10,2,0.522,0.601,27.053,10290.731,0.574,2.56,206.695,0.455
359959,5,10,3,0.521,0.601,28.915,12033.902,0.574,2.56,206.695,0.455
359959,5,10,4,0.523,0.595,28.94,11916.357,0.574,2.56,206.695,0.455
359959,5,10,5,0.521,0.595,28.892,12614.677,0.574,2.56,206.695,0.455
359959,5,10,6,0.521,0.588,29.501,13214.684,0.574,2.56,206.695,0.455
359959,5,10,7,0.522,0.595,29.0,13001.594,0.574,2.56,206.695,0.455
359959,5,10,8,0.522,0.581,30.08,13752.58,0.574,2.56,206.695,0.455
359959,5,10,9,0.521,0.581,30.225,13624.534,0.574,2.56,206.695,0.455
359959,5,10,10,0.52,0.581,29.837,13393.323,0.574,2.56,206.695,0.455
359959,5,10,11,0.52,0.588,29.978,13241.933,0.574,2.56,206.695,0.455
359959,5,10,12,0.52,0.581,30.106,13096.931,0.574,2.56,206.695,0.455
359959,5,10,13,0.52,0.581,29.518,12701.946,0.574,2.56,206.695,0.455
359959,5,10,14,0.52,0.588,29.764,12715.489,0.574,2.56,206.695,0.455
359959,5,10,15,0.52,0.588,29.835,12692.198,0.574,2.56,206.695,0.455
359959,5,10,16,0.521,0.588,29.299,12567.84,0.574,2.56,206.695,0.455
359959,5,10,17,0.521,0.588,29.583,12704.756,0.574,2.56,206.695,0.455
359959,5,10,18,0.52,0.595,29.693,12941.562,0.574,2.56,206.695,0.455
359959,5,10,19,0.52,0.595,30.133,13052.523,0.574,2.56,206.695,0.455
359959,5,10,20,0.52,0.595,30.074,13162.415,0.574,2.56,206.695,0.455
359959,5,10,21,0.521,0.595,30.261,13200.084,0.574,2.56,206.695,0.455
359959,5,10,22,0.521,0.595,30.303,13145.938,0.574,2.56,206.695,0.455
359959,5,10,23,0.521,0.595,30.069,12958.561,0.574,2.56,206.695,0.455
359959,5,10,24,0.52,0.595,30.278,13158.103,0.574,2.56,206.695,0.455
359959,5,10,25,0.521,0.595,30.059,13116.88,0.574,2.56,206.695,0.455
359959,5,10,26,0.521,0.588,30.208,13171.038,0.574,2.56,206.695,0.455
359959,5,10,27,0.52,0.588,30.233,13133.915,0.574,2.56,206.695,0.455
359959,5,10,28,0.521,0.588,30.16,13116.447,0.574,2.56,206.695,0.455
359959,5,10,29,0.52,0.588,30.064,13070.676,0.574,2.56,206.695,0.455
359959,5,10,30,0.52,0.588,30.295,13229.001,0.574,2.56,206.695,0.455
359959,5,10,31,0.52,0.588,30.182,13143.988,0.574,2.56,206.695,0.455
359959,5,10,32,0.519,0.588,30.168,13086.723,0.574,2.56,206.695,0.455
359959,5,10,33,0.519,0.588,30.159,13084.04,0.574,2.56,206.695,0.455
359959,5,10,34,0.519,0.588,30.238,13111.32,0.574,2.56,206.695,0.455
359959,5,10,35,0.519,0.588,30.274,13127.353,0.574,2.56,206.695,0.455
359959,5,10,36,0.519,0.588,30.288,13181.855,0.574,2.56,206.695,0.455
359959,5,10,37,0.519,0.588,30.151,13103.287,0.574,2.56,206.695,0.455
359959,5,10,38,0.519,0.588,30.298,13243.092,0.574,2.56,206.695,0.455
359959,5,10,39,0.519,0.588,30.317,13260.851,0.574,2.56,206.695,0.455
359959,5,10,40,0.519,0.581,30.264,13269.669,0.574,2.56,206.695,0.455
359959,5,10,41,0.52,0.588,30.231,13283.795,0.574,2.56,206.695,0.455
359959,5,10,42,0.52,0.588,30.291,13325.685,0.574,2.56,206.695,0.455
359959,5,10,43,0.519,0.588,30.38,13421.389,0.574,2.56,206.695,0.455
359959,5,10,44,0.52,0.588,30.274,13366.869,0.574,2.56,206.695,0.455
359959,5,10,45,0.519,0.588,30.57,13509.885,0.574,2.56,206.695,0.455
359959,5,10,46,0.519,0.588,30.634,13557.512,0.574,2.56,206.695,0.455
359959,5,10,47,0.519,0.588,30.551,13504.624,0.574,2.56,206.695,0.455
359959,5,10,48,0.52,0.581,30.566,13535.043,0.574,2.56,206.695,0.455
359959,5,10,49,0.52,0.581,30.636,13646.95,0.574,2.56,206.695,0.455
168784,13,25,0,0.641,0.733,19.518,3224.176,0.821,3.87,138.765,0.629
168784,13,25,1,0.641,0.733,19.518,3224.176,0.821,3.87,138.765,0.629
168784,13,25,2,0.653,0.744,20.39,3799.203,0.821,3.87,138.765,0.629
168784,13,25,3,0.655,0.759,20.033,3881.079,0.821,3.87,138.765,0.629
168784,13,25,4,0.653,0.759,20.949,3802.914,0.821,3.87,138.765,0.629
168784,13,25,5,0.657,0.764,20.2,3772.693,0.821,3.87,138.765,0.629
168784,13,25,6,0.657,0.769,20.303,3828.717,0.821,3.87,138.765,0.629
168784,13,25,7,0.658,0.764,20.135,3825.409,0.821,3.87,138.765,0.629
168784,13,25,8,0.659,0.759,20.543,3918.76,0.821,3.87,138.765,0.629
168784,13,25,9,0.66,0.759,20.279,3916.31,0.821,3.87,138.765,0.629
