run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var
0,0,0.4691,0.5753,0.5705,12.83,117.02
0,1,0.4691,0.5753,0.5705,12.83,117.02
0,2,0.4791,0.6052,0.5906,21.8,442.41
0,3,0.4834,0.6187,0.6107,25.03,578.14
0,4,0.4847,0.6247,0.604,26.86,686.98
0,5,0.4891,0.6322,0.5973,29.0,793.9
0,6,0.4902,0.6375,0.5973,28.62,822.41
0,7,0.4914,0.639,0.604,29.11,849.45
0,8,0.4934,0.6464,0.6174,29.46,903.13
0,9,0.4955,0.6472,0.6174,29.22,894.6
0,10,0.4962,0.6472,0.6174,29.34,913.47
0,11,0.498,0.6502,0.6242,29.68,941.72
0,12,0.4999,0.6554,0.6309,29.53,983.9
0,13,0.5016,0.6584,0.6309,29.77,997.45
0,14,0.5026,0.6599,0.6376,29.95,1010.38
0,15,0.5039,0.6614,0.6376,29.52,1014.62
0,16,0.5044,0.6622,0.6309,29.64,1036.41
0,17,0.505,0.6652,0.6242,29.71,1104.29
0,18,0.5057,0.6712,0.6309,29.99,1221.59
0,19,0.5066,0.6787,0.6376,30.52,1403.91
0,20,0.5069,0.6824,0.6443,31.27,1610.46
0,21,0.5075,0.6884,0.6443,31.78,1786.01
0,22,0.5077,0.6936,0.6443,32.16,1954.44
0,23,0.5081,0.6989,0.6443,32.83,2161.45
0,24,0.5079,0.7019,0.6443,33.69,2429.32
0,25,0.5074,0.7071,0.6443,34.05,2644.42
0,26,0.5074,0.7094,0.6443,34.48,2845.89
0,27,0.5073,0.7139,0.6443,34.84,3086.07
0,28,0.5073,0.7154,0.651,34.73,3373.87
0,29,0.5069,0.7161,0.6577,34.85,3751.73
0,30,0.5065,0.7199,0.651,35.0,4171.73
0,31,0.5063,0.7251,0.651,34.97,4528.99
0,32,0.5063,0.7326,0.651,34.93,4906.85
0,33,0.5065,0.7363,0.6577,35.19,5279.01
0,34,0.5065,0.7416,0.6577,35.0,5627.75
0,35,0.5065,0.7461,0.6577,35.05,5913.0
0,36,0.5065,0.7476,0.6577,35.23,6210.43
0,37,0.5066,0.7506,0.6644,35.27,6480.53
0,38,0.5068,0.7536,0.6644,35.33,6659.37
0,39,0.5068,0.7558,0.6644,35.04,6856.16
0,40,0.5069,0.7596,0.6644,35.03,7075.98
0,41,0.5069,0.7596,0.6779,34.88,7239.21
0,42,0.5068,0.7625,0.6779,34.66,7374.41
0,43,0.5067,0.767,0.6779,34.57,7522.99
0,44,0.5065,0.77,0.6779,34.38,7647.38
0,45,0.5065,0.7723,0.6779,34.07,7742.28
0,46,0.5063,0.773,0.6779,33.81,7848.01
0,47,0.5063,0.7783,0.6779,33.61,8015.1
0,48,0.5062,0.7798,0.6779,33.5,8231.63
0,49,0.5061,0.7813,0.6779,33.52,8423.09
0,50,0.5059,0.7835,0.6779,33.41,8681.4
0,51,0.5058,0.7865,0.6779,33.38,8943.43
0,52,0.5056,0.7925,0.6779,33.3,9252.53
0,53,0.5056,0.7978,0.6779,33.26,9524.07
0,54,0.5056,0.8022,0.6779,33.26,9821.09
0,55,0.5056,0.806,0.6779,33.13,10090.76
0,56,0.5055,0.8112,0.6779,33.03,10362.7
0,57,0.5056,0.8157,0.6846,32.8,10641.96
0,58,0.5056,0.8187,0.6846,32.64,10886.6
0,59,0.5056,0.821,0.6846,32.53,11089.18
0,60,0.5055,0.8225,0.6846,32.42,11265.95
0,61,0.5055,0.8255,0.6846,32.32,11461.51
0,62,0.5055,0.827,0.6846,32.23,11639.63
0,63,0.5054,0.8292,0.6913,32.18,11807.5
0,64,0.5055,0.8307,0.6913,32.14,11956.54
0,65,0.5055,0.833,0.6913,32.11,12096.59
0,66,0.5055,0.833,0.6913,31.99,12243.1
0,67,0.5054,0.836,0.6913,31.89,12373.07
0,68,0.5054,0.8397,0.698,31.79,12462.32
0,69,0.5054,0.8404,0.698,31.63,12568.16
0,70,0.5054,0.8472,0.698,31.48,12685.93
0,71,0.5055,0.8479,0.698,31.36,12798.02
0,72,0.5056,0.8494,0.698,31.14,12888.71
0,73,0.5058,0.8524,0.698,30.94,12977.87
0,74,0.5058,0.8539,0.698,30.75,13045.94
0,75,0.5058,0.8562,0.698,30.55,13139.7
0,76,0.5058,0.8592,0.698,30.34,13188.01
0,77,0.506,0.8607,0.698,30.15,13240.69
0,78,0.506,0.8629,0.698,29.99,13272.62
0,79,0.506,0.8659,0.698,29.83,13312.52
0,80,0.5061,0.8682,0.698,29.67,13355.09
0,81,0.5062,0.8704,0.698,29.52,13390.88
0,82,0.5063,0.8734,0.698,29.37,13415.49
0,83,0.5063,0.8757,0.698,29.23,13437.28
0,84,0.5064,0.8764,0.698,29.09,13430.34
0,85,0.5064,0.8779,0.698,28.97,13453.45
0,86,0.5064,0.8809,0.698,28.87,13468.07
0,87,0.5064,0.8816,0.698,28.78,13469.38
0,88,0.5065,0.8846,0.698,28.67,13463.11
0,89,0.5066,0.8884,0.698,28.56,13465.75
0,90,0.5067,0.8914,0.698,28.4,13459.84
0,91,0.5067,0.8944,0.698,28.2,13460.3
0,92,0.5066,0.8966,0.698,28.07,13457.14
0,93,0.5066,0.8981,0.698,27.9,13449.22
0,94,0.5067,0.8989,0.698,27.74,13432.78
0,95,0.5067,0.9004,0.698,27.63,13406.48
0,96,0.5067,0.9004,0.698,27.47,13384.69
0,97,0.5067,0.9034,0.698,27.36,13372.77
0,98,0.5066,0.9041,0.698,27.28,13355.42
0,99,0.5067,0.9056,0.698,27.16,13328.17
