run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var
0,0,0.4756,0.564,0.5772,11.72,183.5
0,1,0.4756,0.564,0.5772,11.72,183.5
0,2,0.4762,0.576,0.604,15.32,264.33
0,3,0.4781,0.5813,0.6107,16.58,298.75
0,4,0.4801,0.588,0.604,18.03,372.88
0,5,0.4841,0.5948,0.604,20.01,443.52
0,6,0.4898,0.6052,0.604,21.22,516.32
0,7,0.4936,0.615,0.6242,23.6,565.56
0,8,0.4984,0.621,0.6376,24.8,639.47
0,9,0.5028,0.6202,0.6376,25.71,690.86
0,10,0.5052,0.6277,0.6443,26.59,726.6
0,11,0.5079,0.636,0.6443,27.42,754.34
0,12,0.5098,0.639,0.651,27.95,795.9
0,13,0.5119,0.6434,0.651,28.32,829.91
0,14,0.5133,0.6494,0.6577,28.58,868.15
0,15,0.5145,0.6532,0.6577,28.45,909.39
0,16,0.5155,0.6592,0.6577,28.45,941.98
0,17,0.5168,0.6629,0.6577,28.45,960.14
0,18,0.5169,0.6674,0.6577,28.37,984.09
0,19,0.5174,0.6704,0.6644,28.2,1008.95
0,20,0.5178,0.6757,0.6644,28.5,1040.69
0,21,0.5183,0.6794,0.6644,28.48,1067.97
0,22,0.5191,0.6839,0.6644,28.53,1098.79
0,23,0.5201,0.6861,0.6644,28.37,1115.08
0,24,0.5204,0.6846,0.6644,28.24,1159.38
0,25,0.5208,0.6899,0.6644,28.19,1216.67
0,26,0.5209,0.6914,0.6644,28.11,1266.1
0,27,0.5211,0.6944,0.6711,28.24,1319.56
0,28,0.5211,0.6966,0.6711,28.24,1399.02
0,29,0.5212,0.6989,0.6779,28.18,1485.81
0,30,0.5213,0.7034,0.6779,28.16,1578.22
0,31,0.5213,0.7049,0.6779,28.2,1691.01
0,32,0.5213,0.7101,0.6779,28.21,1819.22
0,33,0.521,0.7116,0.6846,28.27,1964.4
0,34,0.5208,0.7154,0.6846,28.28,2137.37
0,35,0.5207,0.7176,0.6779,28.27,2278.9
0,36,0.5203,0.7191,0.6846,28.57,2448.9
0,37,0.5202,0.7228,0.6846,28.61,2617.31
0,38,0.5198,0.7243,0.6846,28.62,2830.89
0,39,0.5196,0.7281,0.6846,28.57,3027.4
0,40,0.5193,0.7296,0.6846,28.68,3251.6
0,41,0.519,0.7333,0.6846,28.83,3512.03
0,42,0.5186,0.7356,0.6846,28.88,3800.34
0,43,0.5183,0.7408,0.6913,28.91,4105.38
0,44,0.5181,0.7438,0.6913,29.12,4519.11
0,45,0.5178,0.7506,0.698,29.39,5005.48
0,46,0.5175,0.7543,0.698,29.71,5512.04
0,47,0.5173,0.7581,0.698,29.81,6059.97
0,48,0.517,0.7633,0.698,30.06,6605.99
0,49,0.5166,0.7693,0.698,30.2,7182.6
0,50,0.5164,0.7753,0.698,30.39,7709.19
0,51,0.5161,0.7768,0.698,30.59,8183.02
0,52,0.5159,0.7798,0.698,30.63,8621.61
0,53,0.5157,0.7828,0.698,30.65,9046.38
0,54,0.5156,0.7865,0.698,30.7,9457.5
0,55,0.5154,0.7903,0.698,30.76,9850.47
0,56,0.5151,0.7925,0.698,30.8,10210.2
0,57,0.515,0.7963,0.698,30.76,10550.76
0,58,0.5147,0.8007,0.698,30.81,10888.13
0,59,0.5145,0.803,0.698,30.82,11199.24
0,60,0.5144,0.8037,0.7047,30.81,11498.96
0,61,0.5142,0.8082,0.698,30.88,11821.15
0,62,0.5141,0.812,0.7047,30.93,12102.35
0,63,0.514,0.8135,0.7047,30.9,12355.0
0,64,0.5137,0.8157,0.7047,30.9,12629.69
0,65,0.5135,0.8202,0.7047,30.94,12907.72
0,66,0.5134,0.8232,0.7047,30.89,13123.57
0,67,0.5132,0.827,0.7047,30.85,13340.56
0,68,0.513,0.8337,0.7047,30.83,13544.77
0,69,0.5129,0.8375,0.7047,30.86,13745.36
0,70,0.5127,0.8404,0.7047,30.76,13895.64
0,71,0.5126,0.8434,0.7047,30.69,14046.97
0,72,0.5126,0.8457,0.7047,30.61,14184.58
0,73,0.5124,0.8487,0.7047,30.57,14318.38
0,74,0.5123,0.8509,0.7047,30.44,14415.35
0,75,0.5122,0.8509,0.7047,30.35,14513.91
0,76,0.512,0.8524,0.698,30.27,14612.44
0,77,0.5119,0.8539,0.698,30.23,14690.44
0,78,0.5117,0.8569,0.698,30.1,14763.9
0,79,0.5116,0.8599,0.698,30.01,14837.37
0,80,0.5115,0.8637,0.698,29.89,14934.75
0,81,0.5112,0.8644,0.698,29.81,14986.74
0,82,0.5111,0.8674,0.698,29.72,15036.17
0,83,0.511,0.8674,0.698,29.61,15081.14
0,84,0.5108,0.8682,0.698,29.47,15112.82
0,85,0.5108,0.8689,0.698,29.35,15129.13
0,86,0.5107,0.8712,0.698,29.25,15165.47
0,87,0.5105,0.8727,0.698,29.14,15181.95
0,88,0.5105,0.8734,0.698,29.02,15211.62
0,89,0.5105,0.8749,0.698,28.9,15219.68
0,90,0.5104,0.8757,0.698,28.78,15230.87
0,91,0.5104,0.8772,0.698,28.62,15244.8
0,92,0.5102,0.8779,0.698,28.52,15255.35
0,93,0.5102,0.8794,0.698,28.42,15266.84
0,94,0.5102,0.8854,0.698,28.32,15265.47
0,95,0.5101,0.8854,0.698,28.24,15267.18
0,96,0.51,0.8861,0.698,28.17,15265.69
0,97,0.5099,0.8884,0.698,28.09,15250.34
0,98,0.5099,0.8884,0.698,27.99,15230.5
0,99,0.5098,0.8906,0.698,27.9,15215.79
