run_id,generation,avg_tree_test_acc,ensemble_train_acc,ensemble_test_acc,height_var,leaves_var
0,0,0.4691,0.5753,0.5705,12.83,117.02
0,1,0.4691,0.5753,0.5705,12.83,117.02
0,2,0.469,0.5858,0.5973,13.37,152.49
0,3,0.4728,0.5873,0.6242,14.06,193.12
0,4,0.4786,0.5933,0.6174,15.59,244.52
0,5,0.4847,0.6037,0.6174,17.02,295.18
0,6,0.4879,0.606,0.6174,18.09,340.77
0,7,0.4897,0.609,0.6242,18.99,401.28
0,8,0.4921,0.6165,0.6242,19.57,452.07
0,9,0.4937,0.6187,0.6242,20.65,531.0
0,10,0.4946,0.627,0.6376,22.01,643.21
0,11,0.4964,0.6307,0.6309,23.16,760.64
0,12,0.4968,0.633,0.6309,24.57,846.72
0,13,0.4979,0.636,0.6309,25.94,964.19
0,14,0.4998,0.6412,0.6376,26.89,1082.02
0,15,0.5006,0.6442,0.6376,27.92,1185.54
0,16,0.501,0.6479,0.6309,29.14,1294.84
0,17,0.5019,0.6517,0.6242,29.75,1366.96
0,18,0.5027,0.6554,0.6309,29.94,1464.07
0,19,0.5029,0.6614,0.6309,30.4,1561.88
0,20,0.5033,0.6644,0.6309,30.78,1647.67
0,21,0.5038,0.6697,0.6309,30.82,1751.6
0,22,0.5041,0.6734,0.6309,31.13,1847.96
0,23,0.504,0.6764,0.6309,31.72,1965.53
0,24,0.5045,0.6794,0.6309,32.18,2100.73
0,25,0.5046,0.6809,0.6309,32.58,2234.64
0,26,0.5049,0.6839,0.6309,32.59,2349.78
0,27,0.5054,0.6869,0.6376,32.53,2447.87
0,28,0.5051,0.6884,0.6376,32.6,2549.12
0,29,0.5051,0.6891,0.6376,32.71,2664.58
0,30,0.5057,0.6936,0.6376,32.67,2800.84
0,31,0.5058,0.6944,0.6443,32.79,2932.06
0,32,0.5059,0.6974,0.6443,32.92,3088.0
0,33,0.506,0.7026,0.651,32.93,3238.65
0,34,0.5059,0.7071,0.651,33.08,3476.24
0,35,0.5058,0.7086,0.651,33.13,3686.61
0,36,0.506,0.7124,0.651,33.27,3904.84
0,37,0.5058,0.7146,0.651,33.31,4137.48
0,38,0.5057,0.7191,0.651,33.36,4357.91
0,39,0.5054,0.7236,0.651,33.63,4611.6
0,40,0.5054,0.7281,0.651,33.8,4881.15
0,41,0.5054,0.7296,0.651,33.87,5137.64
0,42,0.5055,0.7318,0.651,34.02,5387.07
0,43,0.5054,0.7348,0.6644,34.23,5653.23
0,44,0.5054,0.7378,0.6644,34.31,5919.37
0,45,0.5054,0.7393,0.6711,34.43,6187.61
0,46,0.5053,0.7423,0.6711,34.62,6469.15
0,47,0.5053,0.7438,0.6711,34.67,6719.8
0,48,0.5052,0.7453,0.6711,34.62,6970.25
0,49,0.5052,0.7528,0.6711,34.6,7232.19
0,50,0.5051,0.7581,0.6711,34.72,7530.19
0,51,0.5051,0.7603,0.6711,34.74,7781.93
0,52,0.5049,0.7655,0.6711,34.87,8133.88
0,53,0.505,0.767,0.6711,35.07,8482.65
0,54,0.5049,0.7678,0.6711,35.2,8863.53
0,55,0.505,0.7723,0.6779,35.31,9197.04
0,56,0.5051,0.7768,0.6779,35.35,9519.55
0,57,0.5049,0.7798,0.6846,35.45,9809.67
0,58,0.5049,0.7865,0.6846,35.52,10135.88
0,59,0.505,0.791,0.6846,35.58,10420.23
0,60,0.5051,0.794,0.6846,35.65,10676.44
0,61,0.5049,0.7955,0.6846,35.79,10929.11
0,62,0.5049,0.7963,0.6846,35.78,11148.57
0,63,0.5048,0.8007,0.6846,35.84,11393.9
0,64,0.5048,0.8052,0.6913,35.76,11637.31
0,65,0.5048,0.809,0.6913,35.82,11836.79
0,66,0.5047,0.815,0.6913,35.78,12037.62
0,67,0.5047,0.8187,0.698,35.73,12221.49
0,68,0.5046,0.8217,0.698,35.67,12378.56
0,69,0.5046,0.8225,0.698,35.66,12549.01
0,70,0.5045,0.8247,0.698,35.53,12693.33
0,71,0.5046,0.8255,0.698,35.42,12803.77
0,72,0.5046,0.8307,0.698,35.38,12929.13
0,73,0.5045,0.833,0.698,35.33,13053.66
0,74,0.5045,0.8337,0.698,35.21,13151.59
0,75,0.5045,0.8345,0.698,35.1,13247.62
0,76,0.5044,0.836,0.7047,34.99,13359.51
0,77,0.5045,0.8382,0.7047,34.84,13458.09
0,78,0.5045,0.839,0.7047,34.63,13536.11
0,79,0.5044,0.8404,0.7047,34.45,13607.1
0,80,0.5044,0.8442,0.7047,34.33,13678.46
0,81,0.5044,0.8494,0.7047,34.15,13772.62
0,82,0.5044,0.8517,0.7047,33.99,13821.49
0,83,0.5043,0.8532,0.7047,33.92,13885.61
0,84,0.5043,0.8547,0.7047,33.78,13929.32
0,85,0.5043,0.8554,0.7047,33.63,13975.23
0,86,0.5043,0.8577,0.698,33.47,14007.09
0,87,0.5043,0.8592,0.698,33.34,14052.11
0,88,0.5043,0.8599,0.698,33.16,14086.7
0,89,0.5044,0.8607,0.698,33.07,14123.64
0,90,0.5043,0.8622,0.698,32.94,14154.12
0,91,0.5042,0.8637,0.698,32.81,14175.05
0,92,0.5041,0.8652,0.698,32.68,14199.67
0,93,0.5041,0.8652,0.698,32.56,14235.73
0,94,0.5041,0.8667,0.698,32.48,14246.43
0,95,0.5041,0.8674,0.698,32.37,14257.86
0,96,0.5041,0.8689,0.698,32.27,14265.88
0,97,0.5041,0.8719,0.698,32.16,14275.75
0,98,0.504,0.8764,0.698,32.09,14281.99
0,99,0.504,0.8779,0.698,32.01,14290.87
